"Time (EpSec)","Azimuth (deg)","Elevation (deg)","Range (km)"
131.400,91.72431907,36.38111458,234.443192
131.600,91.72004119,36.31436851,235.257018
131.800,91.71578890,36.24773381,236.072649
132.000,91.71156199,36.18121015,236.890090
132.200,91.70736026,36.11479740,237.709342
132.400,91.70318351,36.04849538,238.530406
132.600,91.69903157,35.98230396,239.353284
132.800,91.69490421,35.91622279,240.177980
133.000,91.69080127,35.85025176,241.004493
133.200,91.68672254,35.78439066,241.832827
133.400,91.68266785,35.71863936,242.662983
133.600,91.67863700,35.65299752,243.494964
133.800,91.67462981,35.58746502,244.328770
134.000,91.67064610,35.52204163,245.164405
134.200,91.66668570,35.45672723,246.001869
134.400,91.66274841,35.39152148,246.841166
134.600,91.65883406,35.32642423,247.682296
134.800,91.65494249,35.26143528,248.525262
135.000,91.65107351,35.19655442,249.370066
135.200,91.64722696,35.13178150,250.216709
135.400,91.64340265,35.06711619,251.065194
135.600,91.63960043,35.00255832,251.915522
135.800,91.63582012,34.93810771,252.767695
136.000,91.63206156,34.87376411,253.621715
136.200,91.62832459,34.80952734,254.477585
136.400,91.62460904,34.74539716,255.335305
136.600,91.62091476,34.68137342,256.194878
136.800,91.61724157,34.61745578,257.056306
137.000,91.61358933,34.55364409,257.919591
137.200,91.60995788,34.48993813,258.784734
137.400,91.60634705,34.42633767,259.651737
137.600,91.60275670,34.36284250,260.520603
137.800,91.59918668,34.29945239,261.391333
138.000,91.59563683,34.23616713,262.263929
138.200,91.59210700,34.17298649,263.138394
138.400,91.58859706,34.10991031,264.014727
138.600,91.58510683,34.04693824,264.892933
138.800,91.58163619,33.98407011,265.773012
139.000,91.57818498,33.92130572,266.654966
139.200,91.57475307,33.85864481,267.538798
139.400,91.57134031,33.79608719,268.424510
139.600,91.56794656,33.73363260,269.312102
139.800,91.56457168,33.67128083,270.201577
140.000,91.56121554,33.60903165,271.092937
140.200,91.55787800,33.54688483,271.986184
140.400,91.55455891,33.48484014,272.881319
140.600,91.55125815,33.42289735,273.778345
140.800,91.54797559,33.36105623,274.677263
141.000,91.54471109,33.29931655,275.578075
141.200,91.54146451,33.23767808,276.480783
141.400,91.53823574,33.17614059,277.385388
141.600,91.53502464,33.11470384,278.291894
141.800,91.53183109,33.05336760,279.200301
142.000,91.52865495,32.99213165,280.110611
142.200,91.52549611,32.93099574,281.022827
142.400,91.52235443,32.86995964,281.936950
142.600,91.51922980,32.80902313,282.852981
142.800,91.51612210,32.74818595,283.770924
143.000,91.51303120,32.68744789,284.690779
143.200,91.50995698,32.62680870,285.612548
143.400,91.50689932,32.56626815,286.536234
143.600,91.50385811,32.50582595,287.461838
143.800,91.50083323,32.44548198,288.389362
144.000,91.49782457,32.38523593,289.318807
144.200,91.49483201,32.32508758,290.250177
144.400,91.49185543,32.26503669,291.183471
144.600,91.48889472,32.20508302,292.118693
144.800,91.48594978,32.14522633,293.055844
145.000,91.48302049,32.08546639,293.994926
145.200,91.48010674,32.02580296,294.935941
145.400,91.47720841,31.96623575,295.878890
145.600,91.47432542,31.90676463,296.823776
145.800,91.47145764,31.84738930,297.770600
146.000,91.46860497,31.78810952,298.719364
146.200,91.46576731,31.72892506,299.670070
146.400,91.46294454,31.66983569,300.622719
146.600,91.46013658,31.61084110,301.577314
146.800,91.45734331,31.55194117,302.533856
147.000,91.45456463,31.49313559,303.492348
147.200,91.45180045,31.43442414,304.452790
147.400,91.44905066,31.37580658,305.415185
147.600,91.44631516,31.31728261,306.379534
147.800,91.44359386,31.25885209,307.345840
148.000,91.44088666,31.20051474,308.314104
148.200,91.43819346,31.14227032,309.284327
148.400,91.43551416,31.08411853,310.256513
148.600,91.43284867,31.02605924,311.230662
148.800,91.43019691,30.96809215,312.206776
149.000,91.42755876,30.91021704,313.184858
149.200,91.42493414,30.85243360,314.164908
149.400,91.42232297,30.79474169,315.146929
149.600,91.41972514,30.73714104,316.130923
149.800,91.41714057,30.67963139,317.116890
150.000,91.41456916,30.62221246,318.104834
150.200,91.41201083,30.56488410,319.094756
150.400,91.40946550,30.50764604,320.086657
150.600,91.40693306,30.45049797,321.080540
150.800,91.40441345,30.39343976,322.076405
151.000,91.40190656,30.33647112,323.074256
151.200,91.39941232,30.27959177,324.074094
151.400,91.39693064,30.22280154,325.075920
151.600,91.39446144,30.16610017,326.079736
151.800,91.39200463,30.10948737,327.085545
152.000,91.38956013,30.05296298,328.093347
152.200,91.38712787,29.99652672,329.103144
152.400,91.38470774,29.94017831,330.114940
152.600,91.38229969,29.88391760,331.128734
152.800,91.37990363,29.82774430,332.144529
153.000,91.37751947,29.77165814,333.162327
153.200,91.37514715,29.71565895,334.182129
153.400,91.37278658,29.65974643,335.203938
153.600,91.37043768,29.60392040,336.227754
153.800,91.36810039,29.54818060,337.253580
154.000,91.36577461,29.49252674,338.281418
154.200,91.36346028,29.43695866,339.311269
154.400,91.36115733,29.38147605,340.343135
154.600,91.35886567,29.32607876,341.377017
154.800,91.35658524,29.27076645,342.412919
155.000,91.35431596,29.21553898,343.450840
155.200,91.35205776,29.16039603,344.490783
155.400,91.34981057,29.10533743,345.532750
155.600,91.34757431,29.05036288,346.576743
155.800,91.34534892,28.99547222,347.622762
156.000,91.34313432,28.94066513,348.670811
156.200,91.34093045,28.88594145,349.720890
156.400,91.33873723,28.83130087,350.773002
156.600,91.33655461,28.77674323,351.827148
156.800,91.33438250,28.72226822,352.883330
157.000,91.33222085,28.66787568,353.941549
157.200,91.33006958,28.61356530,355.001808
157.400,91.32792864,28.55933691,356.064108
157.600,91.32579794,28.50519021,357.128451
157.800,91.32367744,28.45112504,358.194838
158.000,91.32156706,28.39714109,359.263272
158.200,91.31946674,28.34323820,360.333754
158.400,91.31737641,28.28941606,361.406286
158.600,91.31529601,28.23567448,362.480869
158.800,91.31322549,28.18201325,363.557505
159.000,91.31116477,28.12843208,364.636196
159.200,91.30911380,28.07493080,365.716944
159.400,91.30707251,28.02150911,366.799750
159.600,91.30504085,27.96816680,367.884617
159.800,91.30301875,27.91490370,368.971544
160.000,91.30100615,27.86171948,370.060536
160.200,91.29900300,27.80861400,371.151593
160.400,91.29700922,27.75558694,372.244717
160.600,91.29502478,27.70263812,373.339909
160.800,91.29304960,27.64976733,374.437172
161.000,91.29108363,27.59697429,375.536507
161.200,91.28912682,27.54425878,376.637916
161.400,91.28717910,27.49162063,377.741400
161.600,91.28524042,27.43905952,378.846961
161.800,91.28331073,27.38657526,379.954602
162.000,91.28138996,27.33416767,381.064322
162.200,91.27947807,27.28183644,382.176126
162.400,91.27757499,27.22958138,383.290013
162.600,91.27568068,27.17740225,384.405986
162.800,91.27379508,27.12529888,385.524046
163.000,91.27191814,27.07327095,386.644195
163.200,91.27004980,27.02131829,387.766436
163.400,91.26819001,26.96944066,388.890768
163.600,91.26633872,26.91763786,390.017195
163.800,91.26449588,26.86590961,391.145717
164.000,91.26266143,26.81425572,392.276337
164.200,91.26083533,26.76267596,393.409057
164.400,91.25901753,26.71117013,394.543877
164.600,91.25720797,26.65973795,395.680800
164.800,91.25540660,26.60837922,396.819827
165.000,91.25361337,26.55709372,397.960960
165.200,91.25182824,26.50588123,399.104201
165.400,91.25005116,26.45474156,400.249550
165.600,91.24828208,26.40367442,401.397011
165.800,91.24652094,26.35267961,402.546585
166.000,91.24476771,26.30175692,403.698273
166.200,91.24302234,26.25090613,404.852077
166.400,91.24128477,26.20012700,406.007998
166.600,91.23955496,26.14941936,407.166039
166.800,91.23783287,26.09878292,408.326201
167.000,91.23611844,26.04821749,409.488486
167.200,91.23441164,25.99772285,410.652895
167.400,91.23271242,25.94729878,411.819430
167.600,91.23102073,25.89694506,412.988092
167.800,91.22933652,25.84666147,414.158884
168.000,91.22765976,25.79644780,415.331807
168.200,91.22599041,25.74630382,416.506863
168.400,91.22432840,25.69622931,417.684053
168.600,91.22267371,25.64622410,418.863379
168.800,91.22102629,25.59628790,420.044842
169.000,91.21938610,25.54642053,421.228445
169.200,91.21775309,25.49662176,422.414189
169.400,91.21612723,25.44689139,423.602075
169.600,91.21450846,25.39722919,424.792106
169.800,91.21289675,25.34763495,425.984282
170.000,91.21129206,25.29810847,427.178606
170.200,91.20969435,25.24864951,428.375079
170.400,91.20810358,25.19925788,429.573703
170.600,91.20651970,25.14993334,430.774480
170.800,91.20494267,25.10067570,431.977410
171.000,91.20337246,25.05148474,433.182496
171.200,91.20180903,25.00236025,434.389740
171.400,91.20025234,24.95330200,435.599143
171.600,91.19870234,24.90430980,436.810706
171.800,91.19715901,24.85538343,438.024431
172.000,91.19562229,24.80652268,439.240321
172.200,91.19409216,24.75772733,440.458376
172.400,91.19256858,24.70899718,441.678598
172.600,91.19105150,24.66033200,442.900989
172.800,91.18954089,24.61173162,444.125551
173.000,91.18803672,24.56319581,445.352284
173.200,91.18653894,24.51472436,446.581191
173.400,91.18504753,24.46631706,447.812274
173.600,91.18356244,24.41797371,449.045533
173.800,91.18208363,24.36969409,450.280971
174.000,91.18061108,24.32147800,451.518589
174.200,91.17914475,24.27332524,452.758389
174.400,91.17768460,24.22523556,454.000372
174.600,91.17623059,24.17720882,455.244541
174.800,91.17478270,24.12924479,456.490896
175.000,91.17332120,24.08134302,457.739447
175.200,91.16931373,24.03355363,458.990285
175.400,91.16533213,23.98598628,460.241321
175.600,91.16137614,23.93863919,461.492552
175.800,91.15744553,23.89151061,462.743978
176.000,91.15354008,23.84459881,463.995597
176.200,91.14965954,23.79790206,465.247405
176.400,91.14580369,23.75141868,466.499403
176.600,91.14197232,23.70514698,467.751587
176.800,91.13816519,23.65908530,469.003957
177.000,91.13438209,23.61323198,470.256510
177.200,91.13062281,23.56758540,471.509244
177.400,91.12688712,23.52214395,472.762159
177.600,91.12317482,23.47690602,474.015251
177.800,91.11948571,23.43187004,475.268520
178.000,91.11581957,23.38703444,476.521964
178.200,91.11217620,23.34239767,477.775582
178.400,91.10855540,23.29795819,479.029370
178.600,91.10495697,23.25371450,480.283329
178.800,91.10138072,23.20966508,481.537456
179.000,91.09782645,23.16580845,482.791750
179.200,91.09429396,23.12214314,484.046209
179.400,91.09078308,23.07866768,485.300832
179.600,91.08729361,23.03538063,486.555617
179.800,91.08382536,22.99228056,487.810563
180.000,91.08037816,22.94936606,489.065667
180.200,91.07695183,22.90663572,490.320930
180.400,91.07354617,22.86408817,491.576348
180.600,91.07016103,22.82172201,492.831921
180.800,91.06679621,22.77953589,494.087648
181.000,91.06345155,22.73752847,495.343526
181.200,91.06012689,22.69569841,496.599555
181.400,91.05682204,22.65404439,497.855732
181.600,91.05353684,22.61256510,499.112058
181.800,91.05027113,22.57125924,500.368529
182.000,91.04702474,22.53012553,501.625146
182.200,91.04379752,22.48916271,502.881906
182.400,91.04058929,22.44836951,504.138808
182.600,91.03739991,22.40774468,505.395852
182.800,91.03422922,22.36728699,506.653034
183.000,91.03107706,22.32699522,507.910356
183.200,91.02794328,22.28686816,509.167814
183.400,91.02482773,22.24690461,510.425408
183.600,91.02173026,22.20710338,511.683137
183.800,91.01865072,22.16746329,512.940998
184.000,91.01558897,22.12798318,514.198992
184.200,91.01254485,22.08866189,515.457117
184.400,91.00951824,22.04949829,516.715372
184.600,91.00650898,22.01049123,517.973754
184.800,91.00351693,21.97163959,519.232265
185.000,91.00054196,21.93294227,520.490901
185.200,90.99758394,21.89439816,521.749662
185.400,90.99464271,21.85600616,523.008547
185.600,90.99171816,21.81776521,524.267554
185.800,90.98881015,21.77967423,525.526684
186.000,90.98591854,21.74173216,526.785933
186.200,90.98304320,21.70393794,528.045302
186.400,90.98018402,21.66629054,529.304789
186.600,90.97734085,21.62878892,530.564393
186.800,90.97451358,21.59143206,531.824113
187.000,90.97170208,21.55421895,533.083948
187.200,90.96890623,21.51714859,534.343897
187.400,90.96612590,21.48021998,535.603960
187.600,90.96336098,21.44343213,536.864133
187.800,90.96061134,21.40678407,538.124418
188.000,90.95787686,21.37027484,539.384813
188.200,90.95515744,21.33390346,540.645316
188.400,90.95245295,21.29766900,541.905927
188.600,90.94976327,21.26157051,543.166645
188.800,90.94708830,21.22560706,544.427469
189.000,90.94442793,21.18977773,545.688398
189.200,90.94178203,21.15408159,546.949430
189.400,90.93915051,21.11851773,548.210566
189.600,90.93653325,21.08308527,549.471804
189.800,90.93393015,21.04778331,550.733142
190.000,90.93134109,21.01261096,551.994581
190.200,90.92876598,20.97756735,553.256120
190.400,90.92620470,20.94265160,554.517756
190.600,90.92365716,20.90786287,555.779490
190.800,90.92112325,20.87320029,557.041321
191.000,90.91860286,20.83866302,558.303247
191.200,90.91609591,20.80425022,559.565268
191.400,90.91360229,20.76996106,560.827383
191.600,90.91112190,20.73579472,562.089591
191.800,90.90865464,20.70175038,563.351892
192.000,90.90620042,20.66782723,564.614283
192.200,90.90375914,20.63402447,565.876766
192.400,90.90133071,20.60034130,567.139338
192.600,90.89891503,20.56677695,568.401998
192.800,90.89651201,20.53333061,569.664747
193.000,90.89412156,20.50000153,570.927584
193.200,90.89174359,20.46678893,572.190506
193.400,90.88937800,20.43369205,573.453515
193.600,90.88702471,20.40071013,574.716608
193.800,90.88468362,20.36784243,575.979786
194.000,90.88235466,20.33508821,577.243046
194.200,90.88003773,20.30244673,578.506390
194.400,90.87773275,20.26991725,579.769815
194.600,90.87543964,20.23749907,581.033321
194.800,90.87315830,20.20519145,582.296908
195.000,90.87088865,20.17299370,583.560574
195.200,90.86863062,20.14090510,584.824319
195.400,90.86638412,20.10892495,586.088142
195.600,90.86414907,20.07705256,587.352043
195.800,90.86192538,20.04528725,588.616020
196.000,90.85971299,20.01362833,589.880073
196.200,90.85751180,19.98207513,591.144202
196.400,90.85532174,19.95062698,592.408405
196.600,90.85314274,19.91928321,593.672682
196.800,90.85097472,19.88804316,594.937033
197.000,90.84881760,19.85690619,596.201455
197.200,90.84667130,19.82587163,597.465950
197.400,90.84453575,19.79493885,598.730516
197.600,90.84241088,19.76410721,599.995152
197.800,90.84029661,19.73337609,601.259859
198.000,90.83819288,19.70274484,602.524634
198.200,90.83609960,19.67221286,603.789479
198.400,90.83401671,19.64177951,605.054391
198.600,90.83194413,19.61144420,606.319370
198.800,90.82988181,19.58120632,607.584416
199.000,90.82782966,19.55106525,608.849529
199.200,90.82578762,19.52102041,610.114706
199.400,90.82375561,19.49107121,611.379949
199.600,90.82173358,19.46121705,612.645256
199.800,90.81972146,19.43145736,613.910626
200.000,90.81771918,19.40179155,615.176060
200.200,90.81572667,19.37221906,616.441556
200.400,90.81374386,19.34273931,617.707113
200.600,90.81177071,19.31335174,618.972732
200.800,90.80980713,19.28405579,620.238412
201.000,90.80785306,19.25485090,621.504152
201.200,90.80590845,19.22573654,622.769952
201.400,90.80397324,19.19671214,624.035810
201.600,90.80204735,19.16777716,625.301727
201.800,90.80013072,19.13893108,626.567702
202.000,90.79822331,19.11017336,627.833734
202.200,90.79632504,19.08150346,629.099823
202.400,90.79443586,19.05292086,630.365968
202.600,90.79255571,19.02442505,631.632169
202.800,90.79068452,18.99601550,632.898425
203.000,90.78882225,18.96769170,634.164736
203.200,90.78696883,18.93945315,635.431101
203.400,90.78512421,18.91129933,636.697519
203.600,90.78328832,18.88322975,637.963991
203.800,90.78146112,18.85524392,639.230515
204.000,90.77964255,18.82734133,640.497092
204.200,90.77783255,18.79952151,641.763719
204.400,90.77603107,18.77178396,643.030398
204.600,90.77423805,18.74412820,644.297128
204.800,90.77245344,18.71655375,645.563908
205.000,90.77067719,18.68906015,646.830737
205.200,90.76890924,18.66164692,648.097615
205.400,90.76714955,18.63431359,649.364542
205.600,90.76539805,18.60705970,650.631517
205.800,90.76365469,18.57988479,651.898540
206.000,90.76191944,18.55278840,653.165610
206.200,90.76019223,18.52577009,654.432727
206.400,90.75847301,18.49882940,655.699890
206.600,90.75676174,18.47196588,656.967099
206.800,90.75505837,18.44517910,658.234354
207.000,90.75336284,18.41846861,659.501653
207.200,90.75167511,18.39183399,660.768997
207.400,90.74999513,18.36527478,662.036385
207.600,90.74832286,18.33879058,663.303817
207.800,90.74665823,18.31238094,664.571291
208.000,90.74500122,18.28604546,665.838809
208.200,90.74335176,18.25978370,667.106369
208.400,90.74170982,18.23359525,668.373970
208.600,90.74007535,18.20747970,669.641613
208.800,90.73844830,18.18143664,670.909298
209.000,90.73682863,18.15546565,672.177023
209.200,90.73521629,18.12956635,673.444788
209.400,90.73361124,18.10373832,674.712592
209.600,90.73201343,18.07798116,675.980437
209.800,90.73042282,18.05229449,677.248320
210.000,90.72883937,18.02667790,678.516242
210.200,90.72726304,18.00113101,679.784202
210.400,90.72569378,17.97565344,681.052200
210.600,90.72413154,17.95024479,682.320235
210.800,90.72257629,17.92490469,683.588308
211.000,90.72102799,17.89963276,684.856417
211.200,90.71948659,17.87442862,686.124562
211.400,90.71795205,17.84929190,687.392743
211.600,90.71642434,17.82422224,688.660960
211.800,90.71490341,17.79921925,689.929211
212.000,90.71338922,17.77428259,691.197498
212.200,90.71188173,17.74941188,692.465819
212.400,90.71038090,17.72460676,693.734174
212.600,90.70888670,17.69986689,695.002562
212.800,90.70739908,17.67519190,696.270984
213.000,90.70591801,17.65058144,697.539439
213.200,90.70444344,17.62603517,698.807927
213.400,90.70297535,17.60155274,700.076446
213.600,90.70151369,17.57713379,701.344998
213.800,90.70005842,17.55277800,702.613581
214.000,90.69860951,17.52848503,703.882195
214.200,90.69716692,17.50425452,705.150840
214.400,90.69573061,17.48008616,706.419516
214.600,90.69430056,17.45597961,707.688222
214.800,90.69287671,17.43193453,708.956957
215.000,90.69145905,17.40795060,710.225722
215.200,90.69004752,17.38402750,711.494517
215.400,90.68864210,17.36016490,712.763340
215.600,90.68724275,17.33636249,714.032191
215.800,90.68584944,17.31261994,715.301071
216.000,90.68446213,17.28893693,716.569979
216.200,90.68308079,17.26531316,717.838914
216.400,90.68170539,17.24174831,719.107877
216.600,90.68033588,17.21824207,720.376866
216.800,90.67897225,17.19479413,721.645882
217.000,90.67761444,17.17140420,722.914925
217.200,90.67626244,17.14807195,724.183993
217.400,90.67491621,17.12479711,725.453087
217.600,90.67357572,17.10157936,726.722207
217.800,90.67224093,17.07841841,727.991352
218.000,90.67091182,17.05531396,729.260521
218.200,90.66958834,17.03226572,730.529715
218.400,90.66827048,17.00927341,731.798933
218.600,90.66695820,16.98633672,733.068175
218.800,90.66565146,16.96345538,734.337441
219.000,90.66435024,16.94062910,735.606730
219.200,90.66305451,16.91785759,736.876042
219.400,90.66176424,16.89514058,738.145377
219.600,90.66047939,16.87247778,739.414734
219.800,90.65919994,16.84986893,740.684113
220.000,90.65792586,16.82731374,741.953515
220.200,90.65665711,16.80481193,743.222938
220.400,90.65539368,16.78236325,744.492382
220.600,90.65413552,16.75996741,745.761848
220.800,90.65288262,16.73762415,747.031334
221.000,90.65163494,16.71533321,748.300841
221.200,90.65039245,16.69309432,749.570369
221.400,90.64915513,16.67090721,750.839916
221.600,90.64792295,16.64877163,752.109483
221.800,90.64669588,16.62668732,753.379070
222.000,90.64547390,16.60465401,754.648676
222.200,90.64425697,16.58267146,755.918301
222.400,90.64304507,16.56073941,757.187944
222.600,90.64183817,16.53885761,758.457607
222.800,90.64063625,16.51702580,759.727287
223.000,90.63943927,16.49524374,760.996985
223.200,90.63824722,16.47351118,762.266701
223.400,90.63706007,16.45182788,763.536435
223.600,90.63587778,16.43019358,764.806186
223.800,90.63470034,16.40860806,766.075954
224.000,90.63352772,16.38707106,767.345738
224.200,90.63235990,16.36558234,768.615540
224.400,90.63119684,16.34414168,769.885357
224.600,90.63003852,16.32274883,771.155190
224.800,90.62888493,16.30140356,772.425040
225.000,90.62773603,16.28010564,773.694905
225.200,90.62659179,16.25885483,774.964785
225.400,90.62545220,16.23765090,776.234680
225.600,90.62431724,16.21649363,777.504590
225.800,90.62318687,16.19538279,778.774515
226.000,90.62206107,16.17431815,780.044455
226.200,90.62093982,16.15329949,781.314408
226.400,90.61982310,16.13232658,782.584376
226.600,90.61871088,16.11139921,783.854357
226.800,90.61760313,16.09051715,785.124352
227.000,90.61649985,16.06968019,786.394360
227.200,90.61540100,16.04888811,787.664382
227.400,90.61430655,16.02814069,788.934416
227.600,90.61321650,16.00743771,790.204463
227.800,90.61213081,15.98677898,791.474522
228.000,90.61104946,15.96616426,792.744594
228.200,90.60997244,15.94559337,794.014677
228.400,90.60889971,15.92506607,795.284773
228.600,90.60783126,15.90458217,796.554880
228.800,90.60676706,15.88414146,797.824999
229.000,90.60570710,15.86374374,799.095128
229.200,90.60465135,15.84338880,800.365269
229.400,90.60359980,15.82307644,801.635421
229.600,90.60255241,15.80280646,802.905583
229.800,90.60150917,15.78257866,804.175756
230.000,90.60047006,15.76239283,805.445939
230.200,90.59943506,15.74224879,806.716132
230.400,90.59840415,15.72214633,807.986334
230.600,90.59737730,15.70208527,809.256547
230.800,90.59635449,15.68206540,810.526769
231.000,90.59533572,15.66208654,811.797000
231.200,90.59432095,15.64214849,813.067240
231.400,90.59331017,15.62225106,814.337489
231.600,90.59230335,15.60239407,815.607747
231.800,90.59130048,15.58257732,816.878013
232.000,90.59030154,15.56280064,818.148288
232.200,90.58930650,15.54306383,819.418570
232.400,90.58831536,15.52336671,820.688861
232.600,90.58732808,15.50370909,821.959159
232.800,90.58634466,15.48409080,823.229465
233.000,90.58536507,15.46451166,824.499779
233.200,90.58438929,15.44497148,825.770099
233.400,90.58341730,15.42547008,827.040427
233.600,90.58244910,15.40600729,828.310762
233.800,90.58148465,15.38658293,829.581103
234.000,90.58052393,15.36719683,830.851451
234.200,90.57956695,15.34784880,832.121805
234.400,90.57861366,15.32853869,833.392165
234.600,90.57766406,15.30926631,834.662532
234.800,90.57671813,15.29003149,835.932904
235.000,90.57577584,15.27083407,837.203282
235.200,90.57483719,15.25167387,838.473665
235.400,90.57390216,15.23255073,839.744054
235.600,90.57297072,15.21346447,841.014448
235.800,90.57204287,15.19441494,842.284847
236.000,90.57111857,15.17540197,843.555251
236.200,90.57019783,15.15642539,844.825659
236.400,90.56928061,15.13748504,846.096072
236.600,90.56836690,15.11858075,847.366490
236.800,90.56745669,15.09971237,848.636911
237.000,90.56654997,15.08087974,849.907337
237.200,90.56564670,15.06208270,851.177767
237.400,90.56474688,15.04332108,852.448200
237.600,90.56385049,15.02459473,853.718637
237.800,90.56295752,15.00590350,854.989077
238.000,90.56206794,14.98724723,856.259521
238.200,90.56118175,14.96862575,857.529968
238.400,90.56029892,14.95003893,858.800417
238.600,90.55941944,14.93148661,860.070870
238.800,90.55854330,14.91296863,861.341325
239.000,90.55767047,14.89448484,862.611783
239.200,90.55680095,14.87603510,863.882243
239.400,90.55593472,14.85761925,865.152705
239.600,90.55507177,14.83923715,866.423170
239.800,90.55421207,14.82088864,867.693636
240.000,90.55335561,14.80257359,868.964105
240.200,90.55250238,14.78429184,870.234574
240.400,90.55165237,14.76604325,871.505046
240.600,90.55080555,14.74782768,872.775519
240.800,90.54996192,14.72964498,874.045993
241.000,90.54912145,14.71149501,875.316468
241.200,90.54828414,14.69337763,876.586944
241.400,90.54744997,14.67529270,877.857421
241.600,90.54661893,14.65724007,879.127898
241.800,90.54579099,14.63921961,880.398376
242.000,90.54496616,14.62123118,881.668855
242.200,90.54414440,14.60327465,882.939334
242.400,90.54332572,14.58534986,884.209813
242.600,90.54251009,14.56745670,885.480292
242.800,90.54169750,14.54959502,886.750771
243.000,90.54088794,14.53176469,888.021249
243.200,90.54008139,14.51396557,889.291727
243.400,90.53927784,14.49619754,890.562205
243.600,90.53847728,14.47846045,891.832682
243.800,90.53767970,14.46075418,893.103158
244.000,90.53688507,14.44307861,894.373634
244.200,90.53609339,14.42543358,895.644108
244.400,90.53530464,14.40781899,896.914581
244.600,90.53451881,14.39023469,898.185053
244.800,90.53373589,14.37268057,899.455524
245.000,90.53295587,14.35515649,900.725993
245.200,90.53217872,14.33766233,901.996460
245.400,90.53140445,14.32019796,903.266926
245.600,90.53063303,14.30276326,904.537390
245.800,90.52986445,14.28535810,905.807852
246.000,90.52909870,14.26798236,907.078311
246.200,90.52833577,14.25063591,908.348769
246.400,90.52757565,14.23331864,909.619224
246.600,90.52681832,14.21603042,910.889676
246.800,90.52606377,14.19877114,912.160126
247.000,90.52531199,14.18154066,913.430573
247.200,90.52456297,14.16433888,914.701018
247.400,90.52381669,14.14716567,915.971459
247.600,90.52307315,14.13002091,917.241898
247.800,90.52233232,14.11290449,918.512333
248.000,90.52159420,14.09581629,919.782765
248.200,90.52085878,14.07875619,921.053193
248.400,90.52012605,14.06172409,922.323618
248.600,90.51939599,14.04471985,923.594040
248.800,90.51866859,14.02774337,924.864458
249.000,90.51794384,14.01079454,926.134871
249.200,90.51722173,13.99387324,927.405281
249.400,90.51650225,13.97697936,928.675687
249.600,90.51578538,13.96011279,929.946089
249.800,90.51507112,13.94327341,931.216486
250.000,90.51435945,13.92646112,932.486879
250.200,90.51365037,13.90967580,933.757268
250.400,90.51294385,13.89291735,935.027652
250.600,90.51223990,13.87618565,936.298031
250.800,90.51153850,13.85948061,937.568406
251.000,90.51083963,13.84280210,938.838775
251.200,90.51014330,13.82615003,940.109140
251.400,90.50944948,13.80952428,941.379499
251.600,90.50875816,13.79292476,942.649853
251.800,90.50806935,13.77635135,943.920202
252.000,90.50738301,13.75980395,945.190546
252.200,90.50669916,13.74328246,946.460884
252.400,90.50601776,13.72678677,947.731216
252.600,90.50533882,13.71031678,949.001543
252.800,90.50466233,13.69387239,950.271864
253.000,90.50398827,13.67745349,951.542179
253.200,90.50331663,13.66105999,952.812488
253.400,90.50264740,13.64469177,954.082791
253.600,90.50198058,13.62834875,955.353088
253.800,90.50131614,13.61203082,956.623378
254.000,90.50065410,13.59573788,957.893662
254.200,90.49999442,13.57946984,959.163940
254.400,90.49933711,13.56322659,960.434211
254.600,90.49868215,13.54700804,961.704475
254.800,90.49802953,13.53081409,962.974733
255.000,90.49737925,13.51464464,964.244983
255.200,90.49673129,13.49849960,965.515227
255.400,90.49608564,13.48237887,966.785464
255.600,90.49544230,13.46628235,968.055694
255.800,90.49480126,13.45020996,969.325916
256.000,90.49416250,13.43416159,970.596131
256.200,90.49352601,13.41813716,971.866339
256.400,90.49289180,13.40213656,973.136539
256.600,90.49225984,13.38615971,974.406732
256.800,90.49163013,13.37020652,975.676917
257.000,90.49100265,13.35427689,976.947094
257.200,90.49037741,13.33837073,978.217264
257.400,90.48975439,13.32248795,979.487425
257.600,90.48913358,13.30662846,980.757579
257.800,90.48851498,13.29079217,982.027724
258.000,90.48789856,13.27497899,983.297862
258.200,90.48728434,13.25918883,984.567991
258.400,90.48667229,13.24342160,985.838112
258.600,90.48606240,13.22767722,987.108224
258.800,90.48545468,13.21195559,988.378328
259.000,90.48484910,13.19625663,989.648423
259.200,90.48424567,13.18058026,990.918509
259.400,90.48364436,13.16492638,992.188587
259.600,90.48304519,13.14929492,993.458656
259.800,90.48244812,13.13368578,994.728716
260.000,90.48185317,13.11809888,995.998768
260.200,90.48126031,13.10253413,997.268810
260.400,90.48066954,13.08699145,998.538842
260.600,90.48008086,13.07147077,999.808866
260.800,90.47949424,13.05597198,1001.078880
261.000,90.47890970,13.04049502,1002.348885
261.200,90.47832721,13.02503980,1003.618881
261.400,90.47774677,13.00960623,1004.888867
261.600,90.47716837,12.99419424,1006.158843
261.800,90.47659200,12.97880375,1007.428810
262.000,90.47601765,12.96343466,1008.698767
262.200,90.47544533,12.94808691,1009.968714
262.400,90.47487501,12.93276041,1011.238651
262.600,90.47430669,12.91745509,1012.508578
262.800,90.47374037,12.90217085,1013.778495
263.000,90.47317602,12.88690764,1015.048402
263.200,90.47261366,12.87166536,1016.318299
263.400,90.47205327,12.85644394,1017.588186
263.600,90.47149484,12.84124330,1018.858062
263.800,90.47093836,12.82606336,1020.127928
264.000,90.47038383,12.81090405,1021.397783
