"Time (EpSec)","Azimuth (deg)","Elevation (deg)","Range (km)"
26.600,118.26724904,47.88608301,10.058886
26.800,118.21171735,48.27411285,10.154670
27.000,118.15506310,48.65705355,10.251830
27.200,118.09727905,49.03489162,10.350365
27.400,118.03835832,49.40761726,10.450273
27.600,117.97829441,49.77522423,10.551554
27.800,117.91708123,50.13770972,10.654205
28.000,117.85471311,50.49507421,10.758224
28.200,117.79118479,50.84732130,10.863610
28.400,117.72649144,51.19445756,10.970360
28.600,117.66062867,51.53649245,11.078473
28.800,117.59359255,51.87343809,11.187946
29.000,117.52537960,52.20530922,11.298776
29.200,117.45598684,52.53212298,11.410962
29.400,117.38541172,52.85389883,11.524500
29.600,117.31365224,53.17065841,11.639389
29.800,117.24070685,53.48242539,11.755626
30.000,117.16657452,53.78922539,11.873208
30.200,117.09125553,54.09108640,11.992132
30.400,117.01474909,54.38803695,12.112396
30.600,116.93705573,54.68010776,12.233998
30.800,116.85817651,54.96733099,12.356934
31.000,116.77811304,55.24974017,12.481201
31.200,116.69686749,55.52737012,12.606798
31.400,116.61444255,55.80025683,12.733720
31.600,116.53084151,56.06843735,12.861966
31.800,116.44606818,56.33194975,12.991533
32.000,116.36012696,56.59083299,13.122417
32.200,116.27302282,56.84512684,13.254616
32.400,116.18476130,57.09487185,13.388127
32.600,116.09534851,57.34010921,13.522947
32.800,116.00479113,57.58088073,13.659074
33.000,115.91309644,57.81722873,13.796504
33.200,115.82027226,58.04919600,13.935236
33.400,115.72632702,58.27682576,14.075265
33.600,115.63126971,58.50016154,14.216590
33.800,115.53510989,58.71924717,14.359208
34.000,115.43785769,58.93412674,14.503116
34.200,115.33952383,59.14484451,14.648311
34.400,115.24011956,59.35144487,14.794791
34.600,115.13965672,59.55397233,14.942553
34.800,115.03804974,59.75245358,15.091642
35.000,114.93550606,59.94696754,15.241961
35.200,114.83194493,60.13754464,15.393554
35.400,114.72737659,60.32422567,15.546419
35.600,114.62181841,60.50705767,15.700554
35.800,114.51528261,60.68608230,15.855955
36.000,114.40778756,60.86134632,16.012621
36.200,114.29934656,61.03289110,16.170548
36.400,114.18997890,61.20076300,16.329736
36.600,114.07969891,61.36500303,16.490181
36.800,113.96852546,61.52565580,16.651880
37.000,113.85647785,61.68276562,16.814833
37.200,113.74357185,61.83637279,16.979035
37.400,113.62982894,61.98652232,17.144486
37.600,113.51526579,62.13325393,17.311184
37.800,113.39990465,62.27661197,17.479124
