                                                         27 Feb 2020 11:34:09
Sensor-FOV


 Name       Start Time (UTCG)           Stop Time (UTCG)       Duration (sec)
02517    3 Dec 2019 04:00:03.109    3 Dec 2019 04:05:00.000           296.891
02518    3 Dec 2019 04:00:00.000    3 Dec 2019 04:04:56.169           296.169
02519    3 Dec 2019 04:00:00.000    3 Dec 2019 04:02:38.580           158.580
02520    3 Dec 2019 04:00:00.000    3 Dec 2019 04:00:20.863            20.863
02565    3 Dec 2019 04:03:01.520    3 Dec 2019 04:05:00.000           118.480
02566    3 Dec 2019 04:00:48.910    3 Dec 2019 04:05:00.000           251.090
02567    3 Dec 2019 04:00:00.000    3 Dec 2019 04:03:50.399           230.399
02568    3 Dec 2019 04:00:00.000    3 Dec 2019 04:01:30.347            90.347
02614    3 Dec 2019 04:04:16.872    3 Dec 2019 04:05:00.000            43.128
02615    3 Dec 2019 04:02:07.966    3 Dec 2019 04:04:10.078           122.112
02616    3 Dec 2019 04:00:00.030    3 Dec 2019 04:01:44.368           104.338
02762    3 Dec 2019 04:01:14.303    3 Dec 2019 04:01:46.617            32.314
02809    3 Dec 2019 04:03:21.535    3 Dec 2019 04:05:00.000            98.465
02810    3 Dec 2019 04:01:01.002    3 Dec 2019 04:05:00.000           238.998
02811    3 Dec 2019 04:00:00.000    3 Dec 2019 04:03:34.952           214.952
02812    3 Dec 2019 04:00:00.000    3 Dec 2019 04:01:22.535            82.535
02857    3 Dec 2019 04:04:22.606    3 Dec 2019 04:05:00.000            37.394
02858    3 Dec 2019 04:02:04.452    3 Dec 2019 04:05:00.000           175.548
02859    3 Dec 2019 04:00:00.000    3 Dec 2019 04:05:00.000           300.000
02860    3 Dec 2019 04:00:00.000    3 Dec 2019 04:04:24.394           264.394
02861    3 Dec 2019 04:00:00.000    3 Dec 2019 04:02:10.939           130.939
02906    3 Dec 2019 04:03:53.060    3 Dec 2019 04:05:00.000            66.940
02907    3 Dec 2019 04:01:37.406    3 Dec 2019 04:05:00.000           202.594
02908    3 Dec 2019 04:00:00.000    3 Dec 2019 04:05:00.000           300.000
02909    3 Dec 2019 04:00:00.000    3 Dec 2019 04:04:55.153           295.153
02910    3 Dec 2019 04:00:00.000    3 Dec 2019 04:02:40.626           160.626
02911    3 Dec 2019 04:00:00.000    3 Dec 2019 04:00:26.028            26.028
02955    3 Dec 2019 04:04:17.025    3 Dec 2019 04:05:00.000            42.975
02956    3 Dec 2019 04:02:04.590    3 Dec 2019 04:05:00.000           175.410
02957    3 Dec 2019 04:00:00.000    3 Dec 2019 04:05:00.000           300.000
02958    3 Dec 2019 04:00:00.000    3 Dec 2019 04:04:57.123           297.123
