                                                         22 Jun 2020 01:21:05
Place-MidPoint


 Name       Start Time (UTCG)           Stop Time (UTCG)       Duration (sec)
00918    3 Dec 2019 00:00:11.397    3 Dec 2019 00:10:00.000           588.603
00919    3 Dec 2019 00:00:00.000    3 Dec 2019 00:10:00.000           600.000
00920    3 Dec 2019 00:00:00.000    3 Dec 2019 00:10:00.000           600.000
00921    3 Dec 2019 00:00:00.000    3 Dec 2019 00:10:00.000           600.000
00922    3 Dec 2019 00:00:00.000    3 Dec 2019 00:10:00.000           600.000
00923    3 Dec 2019 00:00:00.000    3 Dec 2019 00:09:07.837           547.837
00924    3 Dec 2019 00:00:00.000    3 Dec 2019 00:06:51.124           411.124
00925    3 Dec 2019 00:00:00.000    3 Dec 2019 00:04:34.381           274.381
00926    3 Dec 2019 00:00:00.000    3 Dec 2019 00:02:17.605           137.605
00927    3 Dec 2019 00:00:00.000    3 Dec 2019 00:00:00.807             0.807
00963    3 Dec 2019 00:09:18.106    3 Dec 2019 00:10:00.000            41.894
00964    3 Dec 2019 00:07:01.457    3 Dec 2019 00:10:00.000           178.543
00965    3 Dec 2019 00:04:44.781    3 Dec 2019 00:10:00.000           315.219
00966    3 Dec 2019 00:02:28.100    3 Dec 2019 00:10:00.000           451.900
00967    3 Dec 2019 00:00:11.390    3 Dec 2019 00:10:00.000           588.610
00968    3 Dec 2019 00:00:00.000    3 Dec 2019 00:10:00.000           600.000
00969    3 Dec 2019 00:00:00.000    3 Dec 2019 00:10:00.000           600.000
00970    3 Dec 2019 00:00:00.000    3 Dec 2019 00:10:00.000           600.000
00971    3 Dec 2019 00:00:00.000    3 Dec 2019 00:10:00.000           600.000
00972    3 Dec 2019 00:00:00.000    3 Dec 2019 00:09:00.416           540.416
00973    3 Dec 2019 00:00:00.000    3 Dec 2019 00:06:43.314           403.314
00974    3 Dec 2019 00:00:00.000    3 Dec 2019 00:04:26.202           266.202
00975    3 Dec 2019 00:00:00.000    3 Dec 2019 00:02:09.074           129.074
01012    3 Dec 2019 00:09:14.147    3 Dec 2019 00:10:00.000            45.853
01013    3 Dec 2019 00:06:57.177    3 Dec 2019 00:10:00.000           182.823
01014    3 Dec 2019 00:04:40.183    3 Dec 2019 00:10:00.000           319.817
01015    3 Dec 2019 00:02:23.186    3 Dec 2019 00:10:00.000           456.814
01016    3 Dec 2019 00:00:06.168    3 Dec 2019 00:10:00.000           593.832
01017    3 Dec 2019 00:00:00.000    3 Dec 2019 00:10:00.000           600.000
01018    3 Dec 2019 00:00:00.000    3 Dec 2019 00:10:00.000           600.000
01019    3 Dec 2019 00:00:00.000    3 Dec 2019 00:10:00.000           600.000
01020    3 Dec 2019 00:00:00.000    3 Dec 2019 00:10:00.000           600.000
01021    3 Dec 2019 00:00:00.000    3 Dec 2019 00:08:50.006           530.006
01022    3 Dec 2019 00:00:00.000    3 Dec 2019 00:06:32.861           392.861
01023    3 Dec 2019 00:00:00.000    3 Dec 2019 00:04:15.721           255.721
01024    3 Dec 2019 00:00:00.000    3 Dec 2019 00:01:58.585           118.585
01061    3 Dec 2019 00:09:03.708    3 Dec 2019 00:10:00.000            56.292
01062    3 Dec 2019 00:06:46.554    3 Dec 2019 00:10:00.000           193.446
01063    3 Dec 2019 00:04:29.393    3 Dec 2019 00:10:00.000           330.607
01064    3 Dec 2019 00:02:12.235    3 Dec 2019 00:10:00.000           467.765
01065    3 Dec 2019 00:00:00.000    3 Dec 2019 00:10:00.000           600.000
01066    3 Dec 2019 00:00:00.000    3 Dec 2019 00:10:00.000           600.000
01067    3 Dec 2019 00:00:00.000    3 Dec 2019 00:10:00.000           600.000
01068    3 Dec 2019 00:00:00.000    3 Dec 2019 00:10:00.000           600.000
01069    3 Dec 2019 00:00:00.000    3 Dec 2019 00:10:00.000           600.000
01070    3 Dec 2019 00:00:00.000    3 Dec 2019 00:08:40.001           520.001
01071    3 Dec 2019 00:00:00.000    3 Dec 2019 00:06:23.067           383.067
01072    3 Dec 2019 00:00:00.000    3 Dec 2019 00:04:06.146           246.146
01073    3 Dec 2019 00:00:00.000    3 Dec 2019 00:01:49.239           109.239
01110    3 Dec 2019 00:08:53.431    3 Dec 2019 00:10:00.000            66.569
01111    3 Dec 2019 00:06:36.369    3 Dec 2019 00:10:00.000           203.631
01112    3 Dec 2019 00:04:19.314    3 Dec 2019 00:10:00.000           340.686
01113    3 Dec 2019 00:02:02.281    3 Dec 2019 00:10:00.000           477.719
01114    3 Dec 2019 00:00:00.000    3 Dec 2019 00:10:00.000           600.000
01115    3 Dec 2019 00:00:00.000    3 Dec 2019 00:10:00.000           600.000
01116    3 Dec 2019 00:00:00.000    3 Dec 2019 00:10:00.000           600.000
01117    3 Dec 2019 00:00:00.000    3 Dec 2019 00:10:00.000           600.000
01118    3 Dec 2019 00:00:00.000    3 Dec 2019 00:10:00.000           600.000
01119    3 Dec 2019 00:00:00.000    3 Dec 2019 00:08:36.745           516.745
01120    3 Dec 2019 00:00:00.000    3 Dec 2019 00:06:20.140           380.140
01121    3 Dec 2019 00:00:00.000    3 Dec 2019 00:04:03.548           243.548
01122    3 Dec 2019 00:00:00.000    3 Dec 2019 00:01:46.972           106.972
01159    3 Dec 2019 00:08:46.880    3 Dec 2019 00:10:00.000            73.120
01160    3 Dec 2019 00:06:30.257    3 Dec 2019 00:10:00.000           209.743
01161    3 Dec 2019 00:04:13.665    3 Dec 2019 00:10:00.000           346.335
01162    3 Dec 2019 00:01:57.110    3 Dec 2019 00:10:00.000           482.890
01163    3 Dec 2019 00:00:00.000    3 Dec 2019 00:10:00.000           600.000
01164    3 Dec 2019 00:00:00.000    3 Dec 2019 00:10:00.000           600.000
01165    3 Dec 2019 00:00:00.000    3 Dec 2019 00:10:00.000           600.000
01166    3 Dec 2019 00:00:00.000    3 Dec 2019 00:10:00.000           600.000
01167    3 Dec 2019 00:00:00.000    3 Dec 2019 00:10:00.000           600.000
01168    3 Dec 2019 00:00:00.000    3 Dec 2019 00:08:38.732           518.732
01169    3 Dec 2019 00:00:00.000    3 Dec 2019 00:06:22.435           382.435
01170    3 Dec 2019 00:00:00.000    3 Dec 2019 00:04:06.147           246.147
01171    3 Dec 2019 00:00:00.000    3 Dec 2019 00:01:49.874           109.874
01208    3 Dec 2019 00:08:53.539    3 Dec 2019 00:10:00.000            66.461
01209    3 Dec 2019 00:06:37.711    3 Dec 2019 00:10:00.000           202.289
01210    3 Dec 2019 00:04:21.928    3 Dec 2019 00:10:00.000           338.072
01211    3 Dec 2019 00:02:06.202    3 Dec 2019 00:10:00.000           473.798
01212    3 Dec 2019 00:00:00.000    3 Dec 2019 00:10:00.000           600.000
01213    3 Dec 2019 00:00:00.000    3 Dec 2019 00:10:00.000           600.000
01214    3 Dec 2019 00:00:00.000    3 Dec 2019 00:10:00.000           600.000
01215    3 Dec 2019 00:00:00.000    3 Dec 2019 00:10:00.000           600.000
01216    3 Dec 2019 00:00:00.000    3 Dec 2019 00:10:00.000           600.000
01217    3 Dec 2019 00:00:00.000    3 Dec 2019 00:08:46.809           526.809
01218    3 Dec 2019 00:00:00.000    3 Dec 2019 00:06:30.683           390.683
01219    3 Dec 2019 00:00:00.000    3 Dec 2019 00:04:14.555           254.555
01220    3 Dec 2019 00:00:00.000    3 Dec 2019 00:01:58.429           118.429
01257    3 Dec 2019 00:09:17.969    3 Dec 2019 00:10:00.000            42.031
01258    3 Dec 2019 00:07:03.283    3 Dec 2019 00:10:00.000           176.717
01259    3 Dec 2019 00:04:48.659    3 Dec 2019 00:10:00.000           311.341
01260    3 Dec 2019 00:02:34.111    3 Dec 2019 00:10:00.000           445.889
01261    3 Dec 2019 00:00:19.629    3 Dec 2019 00:10:00.000           580.371
01262    3 Dec 2019 00:00:00.000    3 Dec 2019 00:10:00.000           600.000
01263    3 Dec 2019 00:00:00.000    3 Dec 2019 00:10:00.000           600.000
01264    3 Dec 2019 00:00:00.000    3 Dec 2019 00:10:00.000           600.000
01265    3 Dec 2019 00:00:00.000    3 Dec 2019 00:10:00.000           600.000
01266    3 Dec 2019 00:00:00.000    3 Dec 2019 00:08:55.077           535.077
01267    3 Dec 2019 00:00:00.000    3 Dec 2019 00:06:38.888           398.888
01268    3 Dec 2019 00:00:00.000    3 Dec 2019 00:04:22.687           262.687
01269    3 Dec 2019 00:00:00.000    3 Dec 2019 00:02:06.465           126.465
01307    3 Dec 2019 00:07:55.566    3 Dec 2019 00:10:00.000           124.434
01308    3 Dec 2019 00:05:42.444    3 Dec 2019 00:10:00.000           257.556
01309    3 Dec 2019 00:03:29.418    3 Dec 2019 00:10:00.000           390.582
01310    3 Dec 2019 00:01:16.487    3 Dec 2019 00:10:00.000           523.513
01311    3 Dec 2019 00:00:00.000    3 Dec 2019 00:10:00.000           600.000
01312    3 Dec 2019 00:00:00.000    3 Dec 2019 00:10:00.000           600.000
01313    3 Dec 2019 00:00:00.000    3 Dec 2019 00:10:00.000           600.000
01314    3 Dec 2019 00:00:00.000    3 Dec 2019 00:10:00.000           600.000
01315    3 Dec 2019 00:00:00.000    3 Dec 2019 00:09:00.203           540.203
01316    3 Dec 2019 00:00:00.000    3 Dec 2019 00:06:43.591           403.591
01317    3 Dec 2019 00:00:00.000    3 Dec 2019 00:04:26.947           266.947
01318    3 Dec 2019 00:00:00.000    3 Dec 2019 00:02:10.256           130.256
01356    3 Dec 2019 00:09:21.234    3 Dec 2019 00:10:00.000            38.766
01357    3 Dec 2019 00:07:10.155    3 Dec 2019 00:10:00.000           169.845
